ensembl_gene_id	wikigene_description	hgnc_symbol
ENSG00000254996	ANKHD1-EIF4EBP3 readthrough	ANKHD1-EIF4EBP3
ENSG00000254997	keratin associated protein 5-9	KRTAP5-9
ENSG00000254999	BRICK1 subunit of SCAR/WAVE actin nucleating complex	BRK1
ENSG00000255000		
ENSG00000255001		
ENSG00000255002		LINC02324
ENSG00000255003		CYCSP28
ENSG00000255004		
ENSG00000255005		
ENSG00000255006		ELOCP22
ENSG00000255007		LINC02489
ENSG00000255008		LINC02739
ENSG00000255009	upstream binding transcription factor like 1	UBTFL1
ENSG00000255010		
ENSG00000255011		
ENSG00000255012	olfactory receptor family 5 subfamily M member 1	OR5M1
ENSG00000255014		ARL6IP1P3
ENSG00000255015		
ENSG00000255016		
ENSG00000255018		
ENSG00000255019		OR5D15P
ENSG00000255020		
ENSG00000255021		
ENSG00000255022		
ENSG00000255025		
ENSG00000255026		
ENSG00000255027		
ENSG00000255028		
ENSG00000255029		
ENSG00000255030		OR8B5P
ENSG00000255031		
ENSG00000255032		TSPAN18-AS1
ENSG00000255033		SERPINA15P
ENSG00000255035		SDHCP4
ENSG00000255036		STRA6LP
ENSG00000255037		
ENSG00000255038		
ENSG00000255039		LINC02553
ENSG00000255040		MORF4L1P3
ENSG00000255041		
ENSG00000255042		
ENSG00000255043		NAV2-AS5
ENSG00000255045		
ENSG00000255046		
ENSG00000255047		HNRNPRP2
ENSG00000255048		OR8X1P
ENSG00000255050		
ENSG00000255051		BCAS2P1
ENSG00000255052	uncharacterized LOC112268389	FAM66D
ENSG00000255053		OR4A44P
ENSG00000255054		
ENSG00000255055		MTND1P35
ENSG00000255057		
ENSG00000255058		PDCL2P2
ENSG00000255059		PPIAP43
ENSG00000255060		
ENSG00000255062		
ENSG00000255063		
ENSG00000255065		
ENSG00000255067		
ENSG00000255070		OSBPL9P3
ENSG00000255071	SAA2-SAA4 readthrough	SAA2-SAA4
ENSG00000255072	phosphatidylinositol glycan anchor biosynthesis class Y	PIGY
ENSG00000255073		ZFP91-CNTF
ENSG00000255074		
ENSG00000255075		CENPUP1
ENSG00000255076		
ENSG00000255077		OR4X7P
ENSG00000255078		OR4A6P
ENSG00000255079		LINC02704
ENSG00000255081		
ENSG00000255082		GRM5-AS1
ENSG00000255083		OR5AK1P
ENSG00000255084		
ENSG00000255085		
ENSG00000255086		
ENSG00000255087		
ENSG00000255088		
ENSG00000255089		
ENSG00000255091		
ENSG00000255092		
ENSG00000255093		
ENSG00000255094		
ENSG00000255095	olfactory receptor family 1 subfamily D member 4 (gene/pseudogene)	OR1D4
ENSG00000255096		OR5B10P
ENSG00000255097		
ENSG00000255099		
ENSG00000255100		
ENSG00000255101		
ENSG00000255102		
ENSG00000255104		
ENSG00000255105		PTMAP15
ENSG00000255106		
ENSG00000255107		
ENSG00000255108		
ENSG00000255109		LINC02740
ENSG00000255110		
ENSG00000255111		
ENSG00000255112	charged multivesicular body protein 1B	CHMP1B
ENSG00000255113		OR4A48P
ENSG00000255114		
ENSG00000255115		
ENSG00000255116		SLC5A4P1
ENSG00000255117		LINC02546
ENSG00000255118		
ENSG00000255119		
ENSG00000255120		OVOL1-AS1
ENSG00000255121		CCDC84-DT
ENSG00000255122		
ENSG00000255123		MTND5P21
ENSG00000255126		
ENSG00000255127		
ENSG00000255128		HSPD1P3
ENSG00000255129		
ENSG00000255130		
ENSG00000255131		OR9L1P
ENSG00000255132		
ENSG00000255133		LINC02721
ENSG00000255134		OR8K2P
ENSG00000255135		
ENSG00000255136		
ENSG00000255138		GLTPP1
ENSG00000255139		
ENSG00000255140		OR5BN2P
ENSG00000255141		HNRNPA1P76
ENSG00000255142		
ENSG00000255143		
ENSG00000255144		
ENSG00000255145		STX17-AS1
ENSG00000255146		
ENSG00000255147		
ENSG00000255148		
ENSG00000255149		
ENSG00000255150	EP300 interacting inhibitor of differentiation 3	EID3
ENSG00000255151	glycine-N-acyltransferase like 1B	GLYATL1B
ENSG00000255152		MSH5-SAPCD1
ENSG00000255153		TOLLIP-AS1
ENSG00000255154	hydroxyacyl-thioester dehydratase type 2	HTD2
ENSG00000255155		
ENSG00000255156		RNY1P9
ENSG00000255157		DEFB130C
ENSG00000255158		
ENSG00000255159		
ENSG00000255160		
ENSG00000255161		
ENSG00000255162		
ENSG00000255163		HSPE1P18
ENSG00000255164		
ENSG00000255165		
ENSG00000255166		
ENSG00000255167		
ENSG00000255169		LINC02722
ENSG00000255170		
ENSG00000255171		LINC01499
ENSG00000255172		OR5AM1P
ENSG00000255173		
ENSG00000255174		
ENSG00000255175	long intergenic non-protein coding RNA 2759	LINC02759
ENSG00000255176		
ENSG00000255177		MUC5B-AS1
ENSG00000255178	long intergenic non-protein coding RNA 2720	LINC02720
ENSG00000255179		
ENSG00000255181	coiled-coil domain containing 166	CCDC166
ENSG00000255182		
ENSG00000255183	long intergenic non-protein coding RNA 2711	LINC02711
ENSG00000255184		
ENSG00000255185		PDXDC2P
ENSG00000255186		
ENSG00000255187		LINC02748
ENSG00000255188		
ENSG00000255189		GLYATL1P1
ENSG00000255190		TRIM51DP
ENSG00000255191		
ENSG00000255192	Nanog homeobox retrogene P8	NANOGP8
ENSG00000255193		LINC02726
ENSG00000255196		OR4A17P
ENSG00000255197		
ENSG00000255198		SNHG9
ENSG00000255199		GTF2IP11
ENSG00000255200		PGAM1P8
ENSG00000255201		
ENSG00000255202		
ENSG00000255203		OR7E2P
ENSG00000255204		
ENSG00000255205		MED28P5
ENSG00000255206		
ENSG00000255207		
ENSG00000255209		
ENSG00000255210		
ENSG00000255211		
ENSG00000255213		NPM1P35
ENSG00000255214		
ENSG00000255215		OR4R1P
ENSG00000255216		
ENSG00000255217		OR5J7P
ENSG00000255218		OR5BC1P
ENSG00000255219		
ENSG00000255220		DDX18P5
ENSG00000255221	caspase recruitment domain family member 17	CARD17
ENSG00000255222		SETP17
ENSG00000255223	olfactory receptor family 5 subfamily M member 11	OR5M11
ENSG00000255224		
ENSG00000255225		OR8B6P
ENSG00000255226		LINC02690
ENSG00000255227		
ENSG00000255229		
ENSG00000255230		
ENSG00000255231		MRPS36P4
ENSG00000255232		
ENSG00000255233		
ENSG00000255234		
ENSG00000255235		
ENSG00000255236		
ENSG00000255237		
ENSG00000255238		RFPL4AP1
ENSG00000255239		TREHP1
ENSG00000255240		
ENSG00000255241		
ENSG00000255244		
ENSG00000255245	FXYD6-FXYD2 readthrough	FXYD6-FXYD2
ENSG00000255246		
ENSG00000255247		NECTIN1-AS1
ENSG00000255248	mir-100-let-7a-2-mir-125b-1 cluster host gene	MIR100HG
ENSG00000255250		
ENSG00000255251	proline rich 23 domain containing 1	PRR23D1
ENSG00000255251	proline rich 23 domain containing 2	PRR23D1
ENSG00000255252		
ENSG00000255253		
ENSG00000255254		HIGD1AP5
ENSG00000255255		PPP1R1AP1
ENSG00000255256		
ENSG00000255258	long intergenic non-protein coding RNA 2743	LINC02743
ENSG00000255259		ZNF123P
ENSG00000255260		
ENSG00000255261		OR7E4P
ENSG00000255262		ELOBP2
ENSG00000255265		TMA16P1
ENSG00000255266		
ENSG00000255267	long intergenic non-protein coding RNA 2687	LINC02687
ENSG00000255268		
ENSG00000255269		LINC02710
ENSG00000255270		NAV2-IT1
ENSG00000255271		
ENSG00000255272		
ENSG00000255273		
ENSG00000255274		SMIM35
ENSG00000255276		RRM1-AS1
ENSG00000255277	ATP binding cassette subfamily C member 6 pseudogene 2	ABCC6P2
ENSG00000255279		
ENSG00000255280		
ENSG00000255281		
ENSG00000255282		WTAPP1
ENSG00000255283		
ENSG00000255284		
ENSG00000255285		
ENSG00000255286		
ENSG00000255287		SNRPGP16
ENSG00000255288		
ENSG00000255289		
ENSG00000255291		HMGB1P40
ENSG00000255292		
ENSG00000255293		WIZP1
ENSG00000255294		OR4A50P
ENSG00000255295		
ENSG00000255296		
ENSG00000255297		OR4A41P
ENSG00000255298	olfactory receptor family 8 subfamily G member 5	OR8G5
ENSG00000255299		
ENSG00000255300		LINC02745
ENSG00000255301		
ENSG00000255302	EP300 interacting inhibitor of differentiation 1	EID1
ENSG00000255303		OR5BA1P
ENSG00000255304		OR4A46P
ENSG00000255305		
ENSG00000255306		
ENSG00000255307	olfactory receptor family 52 subfamily B member 2	OR52B2
ENSG00000255308		CSRP3-AS1
ENSG00000255309		
ENSG00000255310		
ENSG00000255311		
ENSG00000255312		OR4C7P
ENSG00000255313		
ENSG00000255314		
ENSG00000255315		OR8A3P
ENSG00000255316		MTND6P25
ENSG00000255317		
ENSG00000255319		ENPP7P8
ENSG00000255320		
ENSG00000255321		
ENSG00000255323	long intergenic non-protein coding RNA 1495	LINC01495
ENSG00000255325		
ENSG00000255326		
ENSG00000255327		LINC02697
ENSG00000255328		
ENSG00000255329		H2AFZP4
ENSG00000255330		
ENSG00000255331		
ENSG00000255332		LINC02756
ENSG00000255333		
ENSG00000255334		
ENSG00000255335	long intergenic non-protein coding RNA 2729	LINC02729
ENSG00000255336		
ENSG00000255337		
ENSG00000255338		
ENSG00000255339		
ENSG00000255340		
ENSG00000255341		OR8Q1P
ENSG00000255342		
ENSG00000255343		
ENSG00000255344		LINC02706
ENSG00000255345		
ENSG00000255346	NADPH oxidase 5	NOX5
ENSG00000255347		
ENSG00000255348		
ENSG00000255349		OR4A7P
ENSG00000255350		MTCO1P15
ENSG00000255351		
ENSG00000255352		PPP1R10P1
ENSG00000255353		
ENSG00000255355		
ENSG00000255356		
ENSG00000255357		
ENSG00000255358		
ENSG00000255359	coiled-coil domain containing 179	CCDC179
ENSG00000255360		
ENSG00000255361		
ENSG00000255362		LINC02761
ENSG00000255363		LINC02757
ENSG00000255364		SMILR
ENSG00000255365		
ENSG00000255366		
ENSG00000255367		
ENSG00000255368		
ENSG00000255369		
ENSG00000255370		CYCSP25
ENSG00000255371		OPCML-IT2
ENSG00000255372		
ENSG00000255374	taste 2 receptor member 43	TAS2R43
ENSG00000255374	taste 2 receptor member 45	TAS2R43
ENSG00000255375		
ENSG00000255376		
ENSG00000255377		DUXAP5
ENSG00000255378	proline rich 23 domain containing 2	PRR23D2
ENSG00000255379		CYCSP29
ENSG00000255380		
ENSG00000255381		
ENSG00000255382	long intergenic non-protein coding RNA 2734	LINC02734
ENSG00000255384		
ENSG00000255385		UBTFL10
ENSG00000255386		OR5BR1P
ENSG00000255387		
ENSG00000255388		LINC02741
ENSG00000255389		
ENSG00000255390		
ENSG00000255391		
ENSG00000255393	oocyte secreted protein family member 4B	OOSP4B
ENSG00000255394	chromosome 8 open reading frame 49	C8orf49
ENSG00000255395		
ENSG00000255396		
ENSG00000255397		
ENSG00000255398	hydroxycarboxylic acid receptor 3	HCAR3
ENSG00000255399		TBX5-AS1
ENSG00000255400		
ENSG00000255401		
ENSG00000255402		
ENSG00000255403		
ENSG00000255404		
ENSG00000255406		LINC02730
ENSG00000255408	protocadherin alpha 3	PCDHA3
ENSG00000255409		RSF1-IT1
ENSG00000255410		
ENSG00000255411		LINC02548
ENSG00000255413		
ENSG00000255415		
ENSG00000255416		OR10AF1P
ENSG00000255417		MTCO2P15
ENSG00000255418		LINC02718
ENSG00000255419		MSH5-SAPCD1
ENSG00000255420		CASC23
ENSG00000255421		
ENSG00000255422	uncharacterized LOC105369519	
ENSG00000255423	endogenous Bornavirus like nucleoprotein 2	EBLN2
ENSG00000255424		MRGPRX9P
ENSG00000255425		OR8G3P
ENSG00000255426		
ENSG00000255427		LINC02707
ENSG00000255428		
ENSG00000255429		
ENSG00000255430		CASP1P1
ENSG00000255431		OR5B19P
ENSG00000255432		
ENSG00000255433	long intergenic non-protein coding RNA 2735	LINC02735
ENSG00000255434		
ENSG00000255435		
ENSG00000255437		
ENSG00000255438		
ENSG00000255439		
ENSG00000255440		
ENSG00000255441		
ENSG00000255442		
ENSG00000255443		CD44-AS1
ENSG00000255444		CYCSP27
ENSG00000255445		
ENSG00000255446		
ENSG00000255447		
ENSG00000255448		
ENSG00000255449		
ENSG00000255450		
ENSG00000255451		
ENSG00000255452		
ENSG00000255454		
ENSG00000255455		
ENSG00000255456		
ENSG00000255457		
ENSG00000255458		
ENSG00000255459		
ENSG00000255460		ZDHHC20P3
ENSG00000255461		OR8I1P
ENSG00000255462		
ENSG00000255463		
ENSG00000255464		SEPTIN14P8
ENSG00000255466		OR5AL2P
ENSG00000255467		
ENSG00000255468		
ENSG00000255469		BOLA3P1
ENSG00000255470		
ENSG00000255471		
ENSG00000255472		
ENSG00000255474		GAU1
ENSG00000255475		
ENSG00000255476		
ENSG00000255477		
ENSG00000255478		
ENSG00000255479		
ENSG00000255480		
ENSG00000255481		OR56A7P
ENSG00000255482		
ENSG00000255483		
ENSG00000255484	long intergenic non-protein coding RNA 2764	LINC02764
ENSG00000255485		OR5G4P
ENSG00000255486		
ENSG00000255487		
ENSG00000255489		
ENSG00000255490		EIF4A2P5
ENSG00000255491	uncharacterized LOC105375743	
ENSG00000255492		
ENSG00000255493		OR4A10P
ENSG00000255494		LINC00681
ENSG00000255495		
ENSG00000255496		
ENSG00000255497		
ENSG00000255498		
ENSG00000255499		
ENSG00000255500		
ENSG00000255501	caspase recruitment domain family member 18	CARD18
ENSG00000255502	long intergenic non-protein coding RNA 2713	LINC02713
ENSG00000255503		
ENSG00000255504		
ENSG00000255505		
ENSG00000255506		
ENSG00000255507		UVRAG-DT
ENSG00000255508		
ENSG00000255510		OR8A2P
ENSG00000255511		
ENSG00000255512		LINC02684
ENSG00000255513		
ENSG00000255514		OR4B2P
ENSG00000255515		
ENSG00000255516		
ENSG00000255517		
ENSG00000255519		
ENSG00000255520		
ENSG00000255521	uncharacterized LOC100507144	
ENSG00000255522		SNRPCP5
ENSG00000255523		
ENSG00000255524	nuclear pore complex interacting protein family member B8	NPIPB8
ENSG00000255525		
ENSG00000255526	NEDD8-MDP1 readthrough	NEDD8-MDP1
ENSG00000255527		
ENSG00000255528		
ENSG00000255529	RNA polymerase II subunit M	POLR2M
ENSG00000255530		
ENSG00000255531		NDUFS5P6
ENSG00000255532		
ENSG00000255533		
ENSG00000255534		OR4A43P
ENSG00000255535		
ENSG00000255536		MRGPRX5P
ENSG00000255537	putative uncharacterized protein MGC39545	
ENSG00000255538		OR10V2P
ENSG00000255539		
ENSG00000255540		
ENSG00000255541		
ENSG00000255542		
ENSG00000255543		
ENSG00000255544		DEFB108D
ENSG00000255545		
ENSG00000255547		RPA2P3
ENSG00000255548		
ENSG00000255549		ENPP7P6
ENSG00000255550		
ENSG00000255551		
ENSG00000255552		LY6G6E
ENSG00000255553		LINC02733
ENSG00000255554		OR7E1P
ENSG00000255555		
ENSG00000255556		
ENSG00000255557		
ENSG00000255558		
ENSG00000255559		ZNF252P-AS1
ENSG00000255560		OR4R2P
ENSG00000255561	ferredoxin-fold anticodon binding domain containing 1	FDXACB1
ENSG00000255562		UNC93B6
ENSG00000255563		
ENSG00000255565		
ENSG00000255566		
ENSG00000255568		BRWD1-AS2
ENSG00000255569		TRAV1-1
ENSG00000255571	MIR9-3 host gene	MIR9-3HG
ENSG00000255572		
ENSG00000255575		
ENSG00000255580		
ENSG00000255581		
ENSG00000255582	olfactory receptor family 10 subfamily G member 2	OR10G2
ENSG00000255583		
ENSG00000255585		
ENSG00000255587	RAB44, member RAS oncogene family	RAB44
ENSG00000255595	uncharacterized LOC101927531	
ENSG00000255599		
ENSG00000255605		
ENSG00000255606		
ENSG00000255608		
ENSG00000255618		LINC02440
ENSG00000255621		
ENSG00000255622		PCDHB17P
ENSG00000255624		
ENSG00000255627		
ENSG00000255628		
ENSG00000255629		
ENSG00000255633		MTRNR2L9
ENSG00000255639		
ENSG00000255641		
ENSG00000255642		PABPC1P4
ENSG00000255644		
ENSG00000255647		
ENSG00000255648		
ENSG00000255649		
ENSG00000255650		FAM222A-AS1
ENSG00000255652		
ENSG00000255653		
ENSG00000255655		
ENSG00000255660		RERG-AS1
ENSG00000255663		
ENSG00000255664		ARL6IP1P1
ENSG00000255666		LINC02700
ENSG00000255669		
ENSG00000255670		
ENSG00000255671		
ENSG00000255672		
ENSG00000255679		JRKL-AS1
ENSG00000255680		
ENSG00000255686		
ENSG00000255689		
ENSG00000255690	TLR4 interactor with leucine rich repeats	TRIL
ENSG00000255692		
ENSG00000255693		LINC02389
ENSG00000255700		APOOP3
ENSG00000255703		
ENSG00000255704		
ENSG00000255710		
ENSG00000255713	olfactory receptor family 4 subfamily D member 2	OR4D2
ENSG00000255714		LINC02460
ENSG00000255717	small nucleolar RNA host gene 1	SNHG1
ENSG00000255723		
ENSG00000255725		TDGP1
ENSG00000255726		
ENSG00000255727		LINC01489
ENSG00000255730		
ENSG00000255733		IFNG-AS1
ENSG00000255734		HNRNPABP1
ENSG00000255737		AGAP2-AS1
ENSG00000255741		
ENSG00000255745		
ENSG00000255746		
ENSG00000255749		GNAI2P1
ENSG00000255750		
ENSG00000255753		
ENSG00000255757		
ENSG00000255760		LINC02422
ENSG00000255763		MRPS18CP4
ENSG00000255769		GOLGA2P10
ENSG00000255772		LINC01479
ENSG00000255774	long intergenic non-protein coding RNA 2747	LINC02747
ENSG00000255775		
ENSG00000255776		VDAC2P2
ENSG00000255780		
ENSG00000255786		
ENSG00000255790		
ENSG00000255794		RMST
ENSG00000255801		
ENSG00000255804	olfactory receptor family 6 subfamily J member 1 (gene/pseudogene)	OR6J1
ENSG00000255807		PTP4A1P2
ENSG00000255808		
ENSG00000255811		
ENSG00000255814		LINC02439
ENSG00000255815		KRT8P11
ENSG00000255817		
ENSG00000255819		KLRC4-KLRK1
ENSG00000255823	MT-RNR2 like 8	MTRNR2L8
ENSG00000255825		
ENSG00000255829		
ENSG00000255830		
ENSG00000255833	TIFA inhibitor	TIFAB
ENSG00000255835		
ENSG00000255836		
ENSG00000255837	taste 2 receptor member 20	TAS2R20
ENSG00000255838		
ENSG00000255839		
ENSG00000255843		
ENSG00000255845		
ENSG00000255847		
ENSG00000255850		RXYLT1-AS1
ENSG00000255851		
ENSG00000255853		
ENSG00000255855		KDM4F
ENSG00000255856		
ENSG00000255857		PXN-AS1
ENSG00000255858		
ENSG00000255860		
ENSG00000255866		
ENSG00000255867		DENND5B-AS1
ENSG00000255870		
ENSG00000255871		
ENSG00000255872		
ENSG00000255874	long intergenic non-protein coding RNA 346	LINC00346
ENSG00000255875		
ENSG00000255882		
ENSG00000255883		FUNDC2P1
ENSG00000255885		
ENSG00000255886		
ENSG00000255892		NDFIP1P1
ENSG00000255893		
ENSG00000255899		
ENSG00000255900		
ENSG00000255903		RPL12P46
ENSG00000255909		PDCD5P1
ENSG00000255910		
ENSG00000255916		
ENSG00000255919		
ENSG00000255920		CCND2-AS1
ENSG00000255921		
ENSG00000255923		
ENSG00000255928		
ENSG00000255929		
ENSG00000255931		
ENSG00000255933		
ENSG00000255944		
ENSG00000255945		
ENSG00000255946		
ENSG00000255947		
ENSG00000255949		RPS6KB2-AS1
ENSG00000255951		
ENSG00000255958		
ENSG00000255959		
ENSG00000255960		
ENSG00000255964		HSPD1P12
ENSG00000255965		
ENSG00000255966		
ENSG00000255967		HADHAP2
ENSG00000255968		
ENSG00000255970		LINC02421
ENSG00000255972		
ENSG00000255973		
ENSG00000255974	cytochrome P450 family 2 subfamily A member 6	CYP2A6
ENSG00000255976		RAB11AP2
ENSG00000255977		
ENSG00000255980	uncharacterized LOC102724265	
ENSG00000255982		NXPE2P1
ENSG00000255983		
ENSG00000255986		MT1JP
ENSG00000255987		TOMM20P2
ENSG00000255988		TUBB4BP1
ENSG00000255991		
ENSG00000255992		
ENSG00000255993		PSMC1P9
ENSG00000255995		
ENSG00000255996		
ENSG00000255998		LINC02824
ENSG00000256001		
ENSG00000256004		
ENSG00000256006		
ENSG00000256007		ARAP1-AS1
ENSG00000256008		
ENSG00000256011		
ENSG00000256013		
ENSG00000256019		TAS2R63P
ENSG00000256020		
ENSG00000256021		ELOCP31
ENSG00000256022		LINC02411
ENSG00000256025		CACNA1C-AS4
ENSG00000256028		
ENSG00000256029		
ENSG00000256030		CBX3P4
ENSG00000256034		
ENSG00000256035		
ENSG00000256037		MRPL40P1
ENSG00000256039		LINC02446
ENSG00000256040		PAPPA-AS1
ENSG00000256041		
ENSG00000256043	cathepsin O	CTSO
ENSG00000256044		
ENSG00000256045	MT-RNR2 like 10	MTRNR2L10
ENSG00000256050		
ENSG00000256053	cytochrome c oxidase assembly factor 8	COA8
ENSG00000256056		
ENSG00000256060	trafficking protein particle complex 2B	TRAPPC2B
ENSG00000256061	dynein axonemal assembly factor 4	DNAAF4
ENSG00000256064		
ENSG00000256069		A2MP1
ENSG00000256070		
ENSG00000256071		
ENSG00000256072		
ENSG00000256073		URB1-AS1
ENSG00000256075		
ENSG00000256077		LINC02442
ENSG00000256079		
ENSG00000256081		
ENSG00000256083		
ENSG00000256084		
ENSG00000256085		
ENSG00000256087	zinc finger protein 432	ZNF432
ENSG00000256091		MTRF1LP1
ENSG00000256092		SBNO1-AS1
ENSG00000256093		
ENSG00000256098		
ENSG00000256100		
ENSG00000256101		
ENSG00000256103		ATP5MFP5
ENSG00000256108		
ENSG00000256115		LINC02443
ENSG00000256116		
ENSG00000256120		SOX5-AS1
ENSG00000256124		LINC01152
ENSG00000256125		
ENSG00000256128		LINC00944
ENSG00000256134		EGLN3P1
ENSG00000256136		
ENSG00000256137		
ENSG00000256138		ZKSCAN7P1
ENSG00000256139		
ENSG00000256146		
ENSG00000256148		
ENSG00000256149		
ENSG00000256150		ITFG2-AS1
ENSG00000256151		ADGRD1-AS1
ENSG00000256152		
ENSG00000256155		LINC02598
ENSG00000256157		
ENSG00000256159		
ENSG00000256162	small leucine rich protein 1	SMLR1
ENSG00000256166		LINC02571
ENSG00000256167		ATF4P4
ENSG00000256171		GCSHP4
ENSG00000256172		LINC02420
ENSG00000256176		
ENSG00000256181		
ENSG00000256185		
ENSG00000256188	taste 2 receptor member 30	TAS2R30
ENSG00000256189		
ENSG00000256192		
ENSG00000256193		LINC00507
ENSG00000256195		
ENSG00000256196		
ENSG00000256197		TSPAN9-IT1
ENSG00000256199		
ENSG00000256204		
ENSG00000256206		
ENSG00000256209		
ENSG00000256210		
ENSG00000256211		
ENSG00000256218		
ENSG00000256220		
ENSG00000256221		
ENSG00000256222	MT-RNR2 like 3	MTRNR2L3
ENSG00000256223	zinc finger protein 10	ZNF10
ENSG00000256226		
ENSG00000256229	zinc finger protein 486	ZNF486
ENSG00000256232		LINC02387
ENSG00000256234		
ENSG00000256235	small integral membrane protein 3	SMIM3
ENSG00000256237		
ENSG00000256238		SUPT16HP1
ENSG00000256243		RPL7AP3
ENSG00000256249		
ENSG00000256250		
ENSG00000256254		
ENSG00000256256		
ENSG00000256257		CACNA1C-IT2
ENSG00000256258		
ENSG00000256259		LINC02425
ENSG00000256262		USP30-AS1
ENSG00000256263		DDX11L8
ENSG00000256268		LINC02454
ENSG00000256269	hydroxymethylbilane synthase	HMBS
ENSG00000256271		CACNA1C-AS2
ENSG00000256273		
ENSG00000256274		TAS2R64P
ENSG00000256278		
ENSG00000256280		
ENSG00000256281		
ENSG00000256282		
ENSG00000256283		METTL8P1
ENSG00000256285		OSBPL9P5
ENSG00000256286		
ENSG00000256287		LINC02398
ENSG00000256288		LINC02617
ENSG00000256292		LINC02376
ENSG00000256293		
ENSG00000256294	zinc finger protein 225	ZNF225
ENSG00000256298		
ENSG00000256299		
ENSG00000256306		
ENSG00000256310		NDUFA5P6
ENSG00000256311		
ENSG00000256312		
ENSG00000256314		
ENSG00000256315		
ENSG00000256321		
ENSG00000256325		
ENSG00000256331		NIFKP3
ENSG00000256338		RPL41P2
ENSG00000256339		
ENSG00000256340		ABCC6P1
ENSG00000256341		
ENSG00000256343		
ENSG00000256346		
ENSG00000256347		OR8R1P
ENSG00000256349		
ENSG00000256350		
ENSG00000256351		
ENSG00000256353		
ENSG00000256355		NTAN1P3
ENSG00000256356		HSPA8P5
ENSG00000256357		
ENSG00000256358		RPL31P57
ENSG00000256361		
ENSG00000256362		LINC02375
ENSG00000256364		
ENSG00000256371		LRRC34P1
ENSG00000256372		
ENSG00000256374	peptidylprolyl isomerase A like 4D	PPIAL4D
ENSG00000256377		
ENSG00000256378		
ENSG00000256379		TRAV8-5
ENSG00000256381		
ENSG00000256385		UBE2NP1
ENSG00000256389		
ENSG00000256393		RPL41P5
ENSG00000256394	acid sensing ion channel subunit family member 5	ASIC5
ENSG00000256399		
ENSG00000256400		
ENSG00000256403		
ENSG00000256407		
ENSG00000256417		
ENSG00000256420		OSBPL9P4
ENSG00000256422		LINC02552
ENSG00000256424		LINC02414
ENSG00000256427		
ENSG00000256433		
ENSG00000256436	taste 2 receptor member 31	TAS2R31
ENSG00000256440		
ENSG00000256441		
ENSG00000256442	uncharacterized LOC105369728	
ENSG00000256443		
ENSG00000256448		
ENSG00000256450		
ENSG00000256452		
ENSG00000256453	DND microRNA-mediated repression inhibitor 1	DND1
ENSG00000256458		
ENSG00000256462		
ENSG00000256463	spalt like transcription factor 3	SALL3
ENSG00000256464		YWHABP2
ENSG00000256465		
ENSG00000256469		
ENSG00000256473		
ENSG00000256474		TRAV11
ENSG00000256480		
ENSG00000256481		
ENSG00000256482		
ENSG00000256484		
ENSG00000256494		LINC02825
ENSG00000256496		
ENSG00000256499		LINC02468
ENSG00000256500		
ENSG00000256502		
ENSG00000256504		
ENSG00000256508		MRGPRF-AS1
ENSG00000256512		
ENSG00000256513		
ENSG00000256514		
ENSG00000256518		
ENSG00000256525	DNA polymerase gamma 2, accessory subunit	POLG2
ENSG00000256533		
ENSG00000256537	small integral membrane protein 10 like 1	SMIM10L1
ENSG00000256538		
ENSG00000256540		
ENSG00000256542		
ENSG00000256546		
ENSG00000256551		LINC02369
ENSG00000256552		
ENSG00000256553		TRAV1-2
ENSG00000256557		
ENSG00000256560		LINC01486
ENSG00000256563		NANOGNBP2
ENSG00000256564		
ENSG00000256566		
ENSG00000256568		
ENSG00000256569		
ENSG00000256571		
ENSG00000256574	olfactory receptor family 13 subfamily A member 1	OR13A1
ENSG00000256576		LINC02361
ENSG00000256577		
ENSG00000256581		NLRP9P1
ENSG00000256582		LINC02390
ENSG00000256588		
ENSG00000256589		ENPP7P5
ENSG00000256590		TRDV3
ENSG00000256591		
ENSG00000256594		
ENSG00000256596		
ENSG00000256597		LINC02393
ENSG00000256603		
ENSG00000256609		
ENSG00000256612		CYP2B7P
ENSG00000256614		AK6P1
ENSG00000256615		
ENSG00000256616		
ENSG00000256618	MT-RNR2 like 1	MTRNR2L1
ENSG00000256625		
ENSG00000256626		
ENSG00000256627		
ENSG00000256628		ZBTB11-AS1
ENSG00000256630		
ENSG00000256632		
ENSG00000256633		
ENSG00000256637		LINC01965
ENSG00000256640		
ENSG00000256642		LINC00273
ENSG00000256643		LINC02441
ENSG00000256646		
ENSG00000256650		RERG-IT1
ENSG00000256651		
ENSG00000256654		
ENSG00000256657		
ENSG00000256658		
ENSG00000256659		LINC02368
ENSG00000256660	C-type lectin domain family 12 member B	CLEC12B
ENSG00000256661		A2ML1-AS1
ENSG00000256663		
ENSG00000256664		
ENSG00000256667		KLRA1P
ENSG00000256670		
ENSG00000256671	LIM zinc finger domain containing 4	LIMS4
ENSG00000256672		LINC02455
ENSG00000256673		
ENSG00000256674		
ENSG00000256678		
ENSG00000256681		CCDC58P5
ENSG00000256682		
ENSG00000256683	zinc finger protein 350	ZNF350
ENSG00000256684	long intergenic non-protein coding RNA 2737	LINC02737
ENSG00000256686		
ENSG00000256690		
ENSG00000256691		
ENSG00000256694		
ENSG00000256695		
ENSG00000256699		TMEM132D-AS2
ENSG00000256704		ENTR1P1
ENSG00000256705		
ENSG00000256706		
ENSG00000256708		
ENSG00000256709		
ENSG00000256712		
ENSG00000256713	pepsinogen 5, group I (pepsinogen A)	PGA5
